basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,boundaryNumber,habitatFishSurvey,density_ind_PSU,biomass_kg_PSU,density_ind_m2,biomass_g_m2,density_ind_ha,biomass_kg_ha
atlantic,FLK,middle,,offshore,2022,1477,24.62201,-81.11191,24.62201,-81.11191,,SPGR_HR,4,0.242098531,,,225.9887006,13.67788311
atlantic,FLK,middle,,offshore,2022,1478,24.62547,-81.10481,24.62547,-81.10481,,SPGR_HR,12,0.124849685,,,677.9661017,7.05365452
atlantic,FLK,middle,,offshore,2016,1657U,24.63236558,-81.09090326,24.63236558,-81.09090326,,SPGR_HR,21.001,3.955289969,,,1186.497175,223.4627101
atlantic,FLK,middle,,offshore,2022,1680,24.63308,-81.08176,24.63308,-81.08176,,SPGR_MR,20.5,11.85167593,,,1158.19209,669.5862105
atlantic,FLK,middle,,offshore,2022,9036,24.62724,-81.11044,24.62724,-81.11044,,CONT_MR,5,0.172738845,,,282.4858757,9.75925678
atlantic,FLK,middle,,offshore,2022,9069,24.6249,-81.11135,24.6249,-81.11135,,CONT_LR,3,0.143124832,,,169.4915254,8.086148701
atlantic,FLK,middle,,offshore,2022,9070,24.62589,-81.1104,24.62589,-81.1104,,SPGR_HR,9.5,4.289882105,,,536.7231638,242.3662206
atlantic,FLK,middle,,offshore,2022,9151,24.62678,-81.11092,24.62678,-81.11092,,SPGR_HR,10.5,3.111028724,,,593.220339,175.7643347
atlantic,FLK,middle,,offshore,2022,9194,24.62538,-81.11042,24.62538,-81.11042,,SPGR_MR,2,0.028825995,,,112.9943503,1.628587288
atlantic,FLK,upper,,inshore,2022,1006,24.9495,-80.55454,24.9495,-80.55454,,ISOL_LR,0.5,0.000547757,,,28.24858757,0.030946723
atlantic,FLK,upper,,inshore,2018,1013U,24.94848519,-80.55135261,24.94848519,-80.55135261,,ISOL_LR,0.25,0.001484339,,,14.12429379,0.08386096
atlantic,FLK,upper,,inshore,2018,1014U,24.94973,-80.55353,24.94973,-80.55353,,ISOL_LR,0.333,0.172179161,,,18.81355932,9.727636215
atlantic,FLK,upper,,inshore,2022,1016,24.95192,-80.53704,24.95192,-80.53704,,ISOL_HR,10.5,0.601540933,,,593.220339,33.98536345
atlantic,FLK,upper,,inshore,2018,1057U,24.93350975,-80.5494998,24.93350975,-80.5494998,,ISOL_HR,27.25,1.88107993,,,1539.548023,106.2757023
atlantic,FLK,upper,,inshore,2018,1058U,24.9022216,-80.61657546,24.9022216,-80.61657546,,ISOL_LR,1.25,0.070784474,,,70.62146893,3.999122825
atlantic,FLK,upper,,inshore,2018,1059H,24.90323,-80.61779,24.90323,-80.61779,,ISOL_MR,15,0.074441713,,,847.4576271,4.205746497
atlantic,FLK,upper,,inshore,2018,1059U,24.90303,-80.61721,24.90303,-80.61721,,ISOL_LR,3,0.004865954,,,169.4915254,0.274912655
atlantic,FLK,upper,,inshore,2022,1077,24.90207,-80.61317,24.90207,-80.61317,,ISOL_LR,0,0,,,0,0
atlantic,FLK,upper,,inshore,2016,1247U,24.94290273,-80.55424373,24.94290273,-80.55424373,,ISOL_HR,37.5,5.714937738,,,2118.644068,322.8778383
atlantic,FLK,upper,,inshore,2016,1253U,24.9086602,-80.6101151,24.9086602,-80.6101151,,ISOL_LR,0,0,,,0,0
atlantic,FLK,upper,,inshore,2016,1255U,24.93386965,-80.55018607,24.93386965,-80.55018607,,ISOL_HR,51.0715,3.940434823,,,2885.39548,222.6234363
atlantic,FLK,upper,,inshore,2016,1256U,24.93743881,-80.54765988,24.93743881,-80.54765988,,ISOL_HR,39.375,3.754563735,,,2224.576271,212.1222449
atlantic,FLK,upper,,inshore,2016,1257U,24.90400535,-80.61690048,24.90400535,-80.61690048,,ISOL_MR,33.5,1.028750085,,,1892.655367,58.12147373
atlantic,FLK,upper,,inshore,2016,1258U,24.90363931,-80.61613896,24.90363931,-80.61613896,,ISOL_HR,25.375,5.185213368,,,1433.615819,292.9499078
atlantic,FLK,upper,,inshore,2022,1371,24.93279,-80.54947,24.93279,-80.54947,,ISOL_HR,17,0.946212957,,,960.4519774,53.45835915
atlantic,FLK,upper,,inshore,2022,1372,24.93671,-80.54596,24.93671,-80.54596,,ISOL_LR,1.5,0.005907037,,,84.74576271,0.333730904
atlantic,FLK,upper,,inshore,2022,1375,24.93747,-80.54764,24.93747,-80.54764,,ISOL_HR,16,0.490067057,,,903.9548023,27.68740435
atlantic,FLK,upper,,inshore,2022,1376,24.93409,-80.54923,24.93409,-80.54923,,ISOL_HR,10.5,0.195248524,,,593.220339,11.03099006
atlantic,FLK,upper,,inshore,2022,1379,24.90404,-80.61603,24.90404,-80.61603,,ISOL_HR,24.5,0.90760586,,,1384.180791,51.27716723
atlantic,FLK,upper,,inshore,2022,1380,24.90369,-80.61624,24.90369,-80.61624,,ISOL_HR,14.5,1.327003002,,,819.2090395,74.97192102
atlantic,FLK,upper,,inshore,2022,1497,24.94912,-80.538,24.94912,-80.538,,ISOL_LR,1,0.000238084,,,56.49717514,0.013451073
atlantic,FLK,upper,,inshore,2018,1514U,24.94523,-80.55161,24.94523,-80.55161,,ISOL_LR,0,0,,,0,0
atlantic,FLK,upper,,inshore,2022,1520,24.90091,-80.61759,24.90091,-80.61759,,ISOL_HR,12.5,16.11259135,,,706.2146893,910.3158957
atlantic,FLK,upper,,inshore,2022,1521,24.90029,-80.61704,24.90029,-80.61704,,ISOL_HR,22.5,0.354775106,,,1271.186441,20.0437913
atlantic,FLK,upper,,inshore,2022,1556,24.90235,-80.6206,24.90235,-80.6206,,ISOL_LR,0,0,,,0,0
atlantic,FLK,upper,,inshore,2018,1557H,24.93833,-80.54983,24.93833,-80.54983,,ISOL_LR,0,0,,,0,0
atlantic,FLK,upper,,inshore,2018,1557U,24.93808,-80.54971,24.93808,-80.54971,,ISOL_MR,5.5,0.834540171,,,310.7344633,47.1491622
atlantic,FLK,upper,,inshore,2022,9013,24.90357,-80.61605,24.90357,-80.61605,,ISOL_HR,33,1.235048371,,,1864.40678,69.77674412
atlantic,FLK,upper,,inshore,2022,9018,24.89723,-80.62202,24.89723,-80.62202,,ISOL_HR,77,1.165716323,,,4350.282486,65.85967927
atlantic,FLK,upper,,inshore,2022,9020,24.89815,-80.61774,24.89815,-80.61774,,ISOL_HR,25.5,0.186001588,,,1440.677966,10.50856429
atlantic,FLK,upper,,inshore,2022,9112,24.90447,-80.61357,24.90447,-80.61357,,ISOL_HR,38,0.777680122,,,2146.892655,43.93673006
atlantic,FLK,upper,,inshore,2022,9119,24.90403,-80.61852,24.90403,-80.61852,,ISOL_HR,92,5.377774606,,,5197.740113,303.8290738
atlantic,FLK,upper,,inshore,2022,9122,24.90358,-80.61902,24.90358,-80.61902,,ISOL_HR,16,2.256381239,,,903.9548023,127.479166
atlantic,FLK,upper,,inshore,2022,9210,24.90355,-80.60961,24.90355,-80.60961,,ISOL_HR,47.5,0.957635247,,,2683.615819,54.10368627
atlantic,FLK,upper,,inshore,2022,9211,24.90423,-80.60965,24.90423,-80.60965,,ISOL_HR,27.5,2.323394029,,,1553.672316,131.2651994
atlantic,FLK,upper,,inshore,2022,9215,24.89819,-80.61919,24.89819,-80.61919,,ISOL_HR,65.5,0.723024966,,,3700.564972,40.84886814
