basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,lower,inshore,1063,2022,24.5775,-81.4438,24.5775,-81.4438,24.5775,-81.4438,539.7727273,1271.186441,-731.4137137,10.90378151,14.17125576,-3.26747425,0.096752105
atlantic,FLK,FLK,lower,offshore,1084,2022,24.55588,-81.43408,24.55588,-81.43408,24.55588,-81.43408,28.40909091,28.24858757,0.16050334,0.15373778,0.030355706,0.123382074,0
atlantic,FLK,FLK,lower,offshore,1087,2022,24.52081,-81.59098,24.52081,-81.59098,24.52081,-81.59098,255.6818182,564.9717514,-309.2899332,3.900397965,4.825201582,-0.924803617,0.00113496
atlantic,FLK,FLK,lower,offshore,1089,2022,24.50689,-81.59154,24.50689,-81.59154,24.50689,-81.59154,340.9090909,508.4745763,-167.5654854,73.16644551,65.21667,7.94977551,0.166107065
atlantic,FLK,FLK,lower,offshore,1095,2022,24.54847,-81.4527,24.54847,-81.4527,24.54847,-81.4527,85.22727273,84.74576271,0.48151002,0.471098151,0.049540621,0.42155753,0
atlantic,FLK,FLK,lower,offshore,1097,2022,24.52027,-81.59045,24.52027,-81.59045,24.52027,-81.59045,397.7272727,593.220339,-195.4930663,43.2706122,43.30840294,-0.03779074,0.485014798
atlantic,FLK,FLK,lower,offshore,1166,2022,24.51023,-81.5676,24.51023,-81.5676,24.51023,-81.5676,113.6363636,169.4915254,-55.8551618,0.644605551,0.514107853,0.130497698,0
atlantic,FLK,FLK,lower,offshore,1168,2022,24.51019,-81.56821,24.51019,-81.56821,24.51019,-81.56821,312.5,649.7175141,-337.2175141,26.87282939,23.58061977,3.29220962,0.360252097
atlantic,FLK,FLK,lower,offshore,1170,2022,24.55312,-81.43715,24.55312,-81.43715,24.55312,-81.43715,1136.363636,1807.909605,-671.545969,192.1131688,270.438102,-78.3249332,0.04537146
atlantic,FLK,FLK,lower,offshore,1174,2018,24.54304,-81.44363,24.54304129,-81.44363313,24.54304129,-81.44363313,85.22727273,84.74576271,0.48151002,3.905136985,2.037032938,1.868104047,7.21E-04
atlantic,FLK,FLK,lower,offshore,1176,2018,24.551605,-81.43135,24.55160517,-81.43135404,24.55160517,-81.43135404,142.0454545,748.5875706,-606.5421161,0.803285736,1.428468475,-0.625182739,0
atlantic,FLK,FLK,lower,offshore,1231,2018,24.538205,-81.453585,24.53820555,-81.45357891,24.53820555,-81.45357891,284.0909091,579.0960452,-295.0051361,17.53374849,25.17422825,-7.64047976,0.003988996
atlantic,FLK,FLK,lower,offshore,1231,2022,24.53316,-81.4674,24.53316,-81.4674,24.53316,-81.4674,426.1363636,734.4632768,-308.3269132,6.181591989,5.219268927,0.962323062,0.001939692
atlantic,FLK,FLK,lower,offshore,1261,2018,24.50559,-81.587,24.50559126,-81.58700013,24.50559126,-81.58700013,198.8636364,847.4576271,-648.5939907,31.74861427,30.36887023,1.37974404,0.294470536
atlantic,FLK,FLK,lower,offshore,1311,2018,24.52964,-81.47153,24.52963985,-81.47153006,24.52963985,-81.47153006,71.02272727,268.3615819,-197.3388546,1.667948871,4.220309153,-2.552360282,6.47E-04
atlantic,FLK,FLK,lower,inshore,1369,2022,24.55046,-81.70069,24.55046,-81.70069,24.55046,-81.70069,596.5909091,1864.40678,-1267.815871,154.6269181,259.3290928,-104.7021747,0.421595447
atlantic,FLK,FLK,lower,inshore,1370,2016,24.558875,-81.50894,24.55887556,-81.50894045,24.55887556,-81.50894045,696.0227273,1129.943503,-433.9207757,53.13669419,51.31089706,1.82579713,0.021242606
atlantic,FLK,FLK,lower,inshore,1371,2016,24.57063,-81.45806,24.57063196,-81.45806196,24.57063196,-81.45806196,568.1818182,2274.011299,-1705.829481,5.008848747,7.190726271,-2.181877524,0.012498116
atlantic,FLK,FLK,lower,inshore,1373,2016,24.584765,-81.44386,24.58476519,-81.44386008,24.58476519,-81.44386008,568.1818182,1949.152542,-1380.970724,69.98334328,83.42586249,-13.44251921,0.164528146
atlantic,FLK,FLK,lower,offshore,1393,2016,24.5247,-81.576175,24.52469745,-81.57616767,24.52469745,-81.57616767,838.0681818,1045.19774,-207.1295582,113.54769,121.9737899,-8.4260999,0.193710364
atlantic,FLK,FLK,lower,offshore,1406,2016,24.509615,-81.57145,24.50961574,-81.57145042,24.50961574,-81.57145042,1110.795455,1697.740113,-586.944658,651.2851092,901.0654025,-249.7802933,2.247397084
atlantic,FLK,FLK,lower,offshore,1431,2016,24.539935,-81.47143,24.53993406,-81.47143099,24.53993406,-81.47143099,198.8636364,197.740113,1.1235234,1.135473322,0.077637401,1.057835921,0
atlantic,FLK,FLK,lower,offshore,1439,2016,24.514825,-81.564175,24.51482436,-81.56417336,24.51482436,-81.56417336,113.6363636,169.4915254,-55.8551618,1.838114427,3.773517288,-1.935402861,4.20E-04
atlantic,FLK,FLK,lower,offshore,1441,2016,24.54113,-81.443605,24.54112909,-81.44360579,24.54112909,-81.44360579,561.0511364,910.9887006,-349.9375642,19.90491877,21.09924927,-1.1943305,0.188691512
atlantic,FLK,FLK,lower,offshore,1479,2016,24.533605,-81.457195,24.53360212,-81.45719371,24.53360212,-81.45719371,929.2045455,2039.774011,-1110.569466,82.60548412,85.91534508,-3.30986096,0.561768616
atlantic,FLK,FLK,lower,inshore,1531,2018,24.559215,-81.50611,24.55920827,-81.50610575,24.55920827,-81.50610575,724.4318182,1864.40678,-1139.974962,68.59992499,98.93292915,-30.33300416,0.433973345
atlantic,FLK,FLK,lower,inshore,1532,2018,24.550765,-81.586935,24.55076627,-81.58693736,24.55076627,-81.58693736,553.9772727,706.2146893,-152.2374166,23.15238841,26.69604689,-3.54365848,0.003865488
atlantic,FLK,FLK,lower,inshore,1534,2018,24.56133,-81.502205,24.56132516,-81.50220968,24.56132516,-81.50220968,582.3863636,974.5762712,-392.1899076,54.53245763,61.17857819,-6.64612056,0.099093132
atlantic,FLK,FLK,lower,offshore,1671,2018,24.54406,-81.44121,24.54406173,-81.44120859,24.54406173,-81.44120859,184.6590909,423.7288136,-239.0697227,1.024007596,1.030319322,-0.006311726,0
atlantic,FLK,FLK,lower,offshore,1674,2018,24.55326,-81.44021,24.55325294,-81.44021988,24.55325294,-81.44021988,326.7045455,1144.067797,-817.3632515,74.23058134,148.7186634,-74.48808206,0.209181313
atlantic,FLK,FLK,lower,inshore,1849,2022,24.55269,-81.70299,24.55269,-81.70299,24.55269,-81.70299,284.0909091,310.7344633,-26.6435542,1.576917042,0.169617232,1.40729981,0
atlantic,FLK,FLK,middle,inshore,1004,2022,24.69326,-81.03875,24.69326,-81.03875,24.69326,-81.03875,795.4545455,1129.943503,-334.4889575,45.18223144,40.77930249,4.40292895,0.005326224
atlantic,FLK,FLK,middle,inshore,1005,2022,24.69657,-81.05188,24.69657,-81.05188,24.69657,-81.05188,482.9545455,875.7062147,-392.7516692,6.497063757,2.943603616,3.553460141,0.001939692
atlantic,FLK,FLK,middle,inshore,1011,2018,24.695585,-81.05188,24.69558449,-81.05188063,24.69558449,-81.05188063,1264.204545,2203.389831,-939.185286,212.1071316,242.7614018,-30.6542702,0.42331613
atlantic,FLK,FLK,middle,inshore,1039,2022,24.66643,-81.07462,24.66643,-81.07462,24.66643,-81.07462,454.5454545,621.4689266,-166.9234721,4.840441729,6.096200226,-1.255758497,3.86E-04
atlantic,FLK,FLK,middle,inshore,1049,2018,24.66763,-81.07011,24.66762896,-81.07011,24.66762896,-81.07011,1036.931818,1271.186441,-234.254623,102.6185668,113.3982541,-10.7796873,0.188357092
atlantic,FLK,FLK,middle,inshore,1053,2018,24.69008,-81.033855,24.69007737,-81.03385969,24.69007737,-81.03385969,1164.772727,1694.915254,-530.142527,130.430499,142.4828441,-12.0523451,0.374895579
atlantic,FLK,FLK,middle,inshore,1245,2016,24.69645,-81.0525,24.69644325,-81.0525045,24.69644325,-81.0525045,802.5568182,1341.80791,-539.2510918,8.278222414,6.213406836,2.064815578,0.001740354
